well,data_source,depth,vitrinite_parameter,VR,VR_unc_1sigma,N_observations,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Entlebuch,secret_data,1315.0,Ro,0.65,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,1480.0,Ro,0.57,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,1930.0,Ro,0.55,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,2175.0,Ro,0.57,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,2485.0,Ro,0.4,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,2690.0,Ro,0.53,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,2870.0,Ro,0.7,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3350.0,Ro,0.6,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3355.0,Ro,0.53,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3485.0,Ro,0.5,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3590.0,Ro,0.65,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3885.0,Ro,0.7,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,3965.0,Ro,0.6,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4050.0,Ro,0.5,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4095.0,Ro,0.65,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4208.0,Ro,1.35,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4258.0,Ro,0.8,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4294.0,Ro,0.8,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4420.0,Ro,0.98,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4456.0,Ro,0.72,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4458.0,Ro,1.15,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4548.0,Ro,1.2,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4558.0,Ro,1.12,0.2,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4720.0,Ro,1.32,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4766.0,Ro,1.35,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4826.0,Ro,1.4,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,4910.0,Ro,1.6,0.15,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,5090.0,Ro,2.54,0.22,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,5136.0,Ro,2.37,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,5144.0,Ro,2.37,0.1,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,secret_data,5150.0,Ro,2.47,0.16,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Huenenberg,,430.0,,0.37,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,,930.0,,0.66,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,,1147.0,,0.54,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,,1200.0,,0.54,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,,1300.0,,0.56,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Huenenberg,,1580.0,,0.47,,,8.43585527005872,47.1693289933173,675604.17965,224743.0695,461.0,3229.0,6044.493940150193,6044.493940150193,288473.43648521096
Kuesnacht,,365.0,,0.4,,,8.62089228603853,47.3195488748143,689380.063571,241637.127442,641.7,2682.0,17194.68888617268,17194.68888617268,300186.360613822
Kuesnacht,,567.0,,0.51,,,8.62089228603853,47.3195488748143,689380.063571,241637.127442,641.7,2682.0,17194.68888617268,17194.68888617268,300186.360613822
Kuesnacht,,790.0,,0.46,,,8.62089228603853,47.3195488748143,689380.063571,241637.127442,641.7,2682.0,17194.68888617268,17194.68888617268,300186.360613822
Kuesnacht,,1885.0,,0.6,,,8.62089228603853,47.3195488748143,689380.063571,241637.127442,641.7,2682.0,17194.68888617268,17194.68888617268,300186.360613822
Lindau,,485.0,,0.56,0.1,,8.67026521582856,47.4415012119442,692899.567907,255251.81481799998,516.0,2374.0,30321.833652301357,30321.833652301357,304204.4006274156
Romanens,,2880.0,,1.56,0.1,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,,3670.0,,2.53,0.1,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,,3720.0,,2.53,0.1,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,,3880.0,,2.73,0.1,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Romanens,,3980.0,,2.95,0.1,,6.971639275114089,46.658502082920506,564255.734962,167581.216243,947.0,2100.0,-225.859630287863,-225.859630287863,151574.95910349942
Savigny,Schegg et al. 1997,20.0,,0.47,0.05,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,30.0,,0.48,0.05,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,695.0,,0.67,0.03,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,745.0,,0.66,0.2,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,810.0,,0.65,0.2,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,847.0,,0.63,0.02,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,1087.0,,0.7,0.04,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
Savigny,Schegg et al. 1997,1110.0,,0.68,0.02,,6.738949879,46.54821,546336.432499,155453.70051199998,839.9,2037.0,-676.3742812212865,-676.3742812212865,128181.51114115455
