tectonic_unit,strat_unit,sample_id,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source
"Subalpine Chains","Eocene fm.",Wi2056,,outcrop,538400,97700,6.643127,46.028023,1170,0,1.55,0.1,100,3,V,"PhD thesis Roland Schegg (1993)"
"Subalpine Chains","Eocene fm.",Wi2053,,outcrop,538400,97700,6.643127,46.028023,1170,0,1.53,0.18,50,1,V,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS325,,outcrop,550120,164940,6.78725,46.633835,580,0,0.51,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS326,,outcrop,551680,165870,6.807524,46.642316,535,0,0.46,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,RS351,,outcrop,562450,167450,6.948059,46.657222,,0,0.37,0.03,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,4,outcrop,538960,156410,6.642652,46.556178,707,0,0.34,0.05,73,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,6,outcrop,542180,155635,6.684737,46.549494,775,0,0.45,0.04,99,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,7,outcrop,540180,156220,6.658585,46.55458,680,0,0.36,0.03,100,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,13,outcrop,542890,155210,6.694047,46.545732,760,0,0.44,0.02,49,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,14,outcrop,551290,170420,6.801947,46.683215,605,0,0.42,0.04,99,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,15,outcrop,560500,177950,6.921677,46.75156,564,0,0.43,0.05,100,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,16,outcrop,561800,181440,6.938399,46.783029,540,0,0.43,0.05,69,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,17,outcrop,563565,170940,6.962348,46.688678,710,0,0.53,0.06,99,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,18,outcrop,566350,175760,6.998399,46.732182,650,0,0.49,0.07,70,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,19,outcrop,556830,175050,6.873921,46.725246,550,0,0.55,0.05,100,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,20,outcrop,555400,171950,6.855518,46.697266,590,0,0.39,0.03,103,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,21,outcrop,566280,176010,6.997465,46.734427,650,0,0.48,0.06,104,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,22,outcrop,560290,179780,6.91877,46.768009,520,0,0.55,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,23,outcrop,555380,170810,6.855367,46.68701,610,0,0.48,0.05,100,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,24,outcrop,558210,176340,6.891855,46.736938,550,0,0.58,0.08,101,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,26,outcrop,557060,174990,6.876935,46.724721,530,0,0.56,0.07,101,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,27,outcrop,551360,171770,6.802718,46.695364,620,0,0.48,0.06,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,28,outcrop,552680,173240,6.819823,46.708682,550,0,0.41,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,29,outcrop,553035,173670,6.824422,46.712575,540,0,0.46,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,30,outcrop,552660,174560,6.819425,46.720554,630,0,0.39,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,31,outcrop,553340,173910,6.828386,46.714756,530,0,0.45,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,33,outcrop,554950,174720,6.849362,46.722153,605,0,0.41,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,35,outcrop,556260,177390,6.866241,46.746257,490,0,0.52,0.06,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,51,outcrop,538350,154150,6.635,46.535793,,0,0.52,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,53,outcrop,539150,155600,6.645237,46.54891,,0,0.51,0.03,30,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,82,outcrop,540800,155700,6.666736,46.549958,,0,0.56,0.07,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,87,outcrop,540180,156240,6.658582,46.55476,,0,0.48,0.06,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,105,outcrop,552380,178160,6.815388,46.752917,620,0,0.43,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,106,outcrop,564810,175940,6.978238,46.733722,660,0,1.07,0.11,50,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,107,outcrop,552000,165720,6.811719,46.640989,580,0,1.22,0.12,30,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,111,outcrop,552360,178440,6.815097,46.755434,630,0,0.38,0.04,50,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,123,outcrop,553130,171520,6.825884,46.693242,530,0,0.47,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,127,outcrop,547780,180810,6.754884,46.776409,510,0,0.41,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,126,outcrop,563600,169450,6.962924,46.675277,775,0,0.37,0.04,54,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,125,outcrop,547630,180060,6.753006,46.769651,560,0,0.4,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,124,outcrop,552910,183140,6.821811,46.79775,672,0,0.28,0.04,28,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,129,outcrop,554060,185270,6.83666,46.816991,600,0,0.41,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,131,outcrop,574800,176600,7.108901,46.740112,595,0,0.44,0.03,48,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,134,outcrop,573550,181370,7.092269,46.782972,595,0,0.26,0.05,20,4,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,135,outcrop,573000,179760,7.085162,46.768467,585,0,0.43,0.03,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,136,outcrop,575620,181930,7.119346,46.788088,630,0,0.3,0.06,30,4,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,137,outcrop,571220,178500,7.061939,46.757058,605,0,0.45,0.05,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,138,outcrop,549420,168710,6.777694,46.667694,710,0,0.31,0.06,41,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,139,outcrop,570650,178130,7.054502,46.753705,620,0,0.96,0.07,50,4,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,140,outcrop,570330,176000,7.050452,46.734531,635,0,0.42,0.06,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,141,outcrop,575050,178440,7.112072,46.756673,580,0,0.25,0.03,50,4,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,142,outcrop,575840,178960,7.122384,46.76138,580,0,0.41,0.05,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,143,outcrop,575720,179430,7.120788,46.765604,575,0,0.41,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,144,outcrop,575720,179430,7.120788,46.765604,575,0,0.44,0.03,40,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,145,outcrop,576320,179800,7.128624,46.768954,610,0,0.42,0.03,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,146,outcrop,575630,177360,7.119721,46.74698,695,0,0.41,0.07,21,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,147,outcrop,575120,177360,7.113047,46.746961,593,0,0.44,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,148,outcrop,575020,176870,7.111765,46.74255,595,0,0.38,0.07,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,149,outcrop,575410,176290,7.116899,46.737347,635,0,0.4,0.08,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,150,outcrop,574990,176560,7.111389,46.73976,600,0,0.49,0.04,69,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,151,outcrop,575345,175320,7.116101,46.728619,630,0,0.41,0.04,98,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,152,outcrop,575300,175820,7.115486,46.733115,640,0,0.38,0.03,93,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,153,outcrop,575400,174200,7.116881,46.718546,710,0,0.36,0.05,100,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,154,outcrop,574870,174780,7.109917,46.723744,605,0,0.41,0.06,100,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,156,outcrop,574080,173430,7.09966,46.711569,675,0,0.54,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,158,outcrop,568840,174430,7.031065,46.72034,678,0,0.4,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",OMM,Weid,161,outcrop,576510,172220,7.131501,46.700775,602,0,0.42,0.06,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,1,outcrop,541870,155245,6.680744,46.545959,750,0,0.5,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,3,outcrop,534620,168290,6.584371,46.662628,630,0,0.51,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,5,outcrop,534810,168000,6.586895,46.660038,650,0,0.46,0.06,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,8,outcrop,534880,170210,6.587495,46.679924,500,0,0.45,0.06,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,25,outcrop,559640,178010,6.910417,46.752048,510,0,0.53,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,54,outcrop,538850,153950,6.641544,46.53404,,0,0.47,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,55,outcrop,536000,154000,6.60439,46.534223,,0,0.47,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,56,outcrop,537950,154200,6.62978,46.536206,,0,0.57,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,57,outcrop,536000,152900,6.604543,46.524328,,0,0.45,0.05,50,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,58,outcrop,535650,153775,6.599859,46.532166,435,0,0.46,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,59,outcrop,538400,153000,6.635806,46.525454,,0,0.53,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,60,outcrop,537600,152800,6.625407,46.52358,,0,0.6,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,61,outcrop,537600,152750,6.625414,46.523131,,0,0.46,0.03,50,3,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,62,outcrop,538200,153300,6.633159,46.528134,,0,0.54,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,63,outcrop,540900,153850,6.668277,46.533325,,0,0.47,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,76,outcrop,539600,154800,6.651208,46.541754,,0,0.49,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,85,outcrop,549280,183700,6.774202,46.802521,530,0,0.64,0.05,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,86,outcrop,549700,183600,6.779715,46.801653,560,0,0.54,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,88,outcrop,540000,163000,6.655354,46.61555,,0,0.51,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,89,outcrop,542900,180100,6.691079,46.769621,570,0,0.52,0.04,50,2,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,91,outcrop,543000,169000,6.69377,46.669784,610,0,0.43,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,92,outcrop,533600,169600,6.570855,46.674311,570,0,0.4,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,95,outcrop,533200,170800,6.565453,46.685065,450,0,0.47,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,114,outcrop,534880,170210,6.587495,46.679924,500,0,0.55,0.02,50,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,128,outcrop,540940,153830,6.668801,46.533149,,0,0.46,0.03,49,0,,"PhD thesis Roland Schegg (1993)"
"Plateau Molasse",USM,Weid,130,outcrop,551410,159200,6.804703,46.582298,,0,1.16,0.09,16,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,280,outcrop,557230,158350,6.880711,46.57505,,0,0.59,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,281,outcrop,561640,162880,6.937859,46.616067,,0,0.45,0.06,67,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,283,outcrop,559050,159090,6.904386,46.581821,,0,0.37,0.04,50,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,274,outcrop,557520,161800,6.884175,46.606103,,0,0.35,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,324,outcrop,555850,154125,6.863115,46.536955,650,0,1.14,0.19,50,2,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,353,outcrop,560960,163780,6.928905,46.624124,900,0,0.47,0.05,50,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,10,outcrop,554400,147900,6.844829,46.480861,630,0,0.76,0.07,100,1,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,12,outcrop,532800,161460,6.561592,46.601012,580,0,0.44,0.04,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,100,outcrop,546700,154800,6.743766,46.542359,,0,0.54,0.07,45,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,101,outcrop,546640,155360,6.742919,46.547391,,0,0.59,0.07,70,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,102,outcrop,548700,156100,6.769694,46.554209,,0,0.58,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Weid,104,outcrop,551900,161650,6.810839,46.604372,,0,0.47,0.07,60,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Wi,2036,outcrop,552200,156400,6.8153,46.557168,625,0,0.63,0.08,73,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Wi,2037,outcrop,552200,156400,6.8153,46.557168,625,0,0.46,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Wi,2038,outcrop,552300,156450,6.816599,46.557625,625,0,0.43,0.05,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,Wi,2039,outcrop,552300,154675,6.816783,46.541658,660,0,0.39,0.03,50,0,,"PhD thesis Roland Schegg (1993)"
"Subalpine Molasse",USM,RS,354,outcrop,622075,181250,7.727706,46.782057,750,0,0.65,0.06,50,0,,"PhD thesis Roland Schegg (1993)"
