AFT_reference,sample_id,borehole,long,lat,x_swiss_grid,y_swiss_grid,elevation,depth,depth_min,depth_max,location,outcrop_or_borehole,lithology,tectonic_unit,stratigraphic_unit,stratigraphic_age_min,stratigraphic_age_max,include_in_compilation,AFT_central_age,AFT_central_age_stdev,AFT_central_age_95ci_min,AFT_central_age_95ci_plus,AFT_n_grains,AFT_Dpar,AFT_Dper,AFT_age_dispersion_perc,AFT_P_chi_sq,P_X2,AFT_reset,AFT_resetting_depth,Unnamed: 31,Unnamed: 32,AFT_mean_track_length,AFT_track_length_stderr,AFT_track_length_stdev,N ap TL,ZFT_age,ZFT_age_stdev,ZFT_n_grains,ZFT_reference,AHe_mean age,AHe_mean age_error_perc,Ahe_reset,AHe_reference,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Cederbom2011,E36,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,1800.0,,,,borehole,,,USM,28.4,20.43,y,11.5,,2.6,3.3,60.0,,,,,0.0,y,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E42,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,2100.0,,,,borehole,,,USM,28.4,20.43,y,15.6,,3.6,4.7,55.0,,,,,0.0,y,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,E8,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,,395.0,,,,borehole,,,USM,28.4,20.43,y,24.2,,4.5,5.5,49.0,,,,,0.0,n,,,,,,,,,,,,,,,,197.2444621347263,197.2444621347263,253992.0926795371
Cederbom2011,H10rec,Huenenberg,8.4358552701,47.1693289933,675604.17965,224743.0695,,1995.0,,,,borehole,,,USM,28.4,20.43,y,4.6,,1.2,1.6,59.0,,,,,0.4,y,,,,,,,,,,,,,,,,6044.493940150193,6044.493940150193,288473.43648521096
Cederbom2011,La10,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,2374.0,,,,borehole,,,Kimmeridgian,155.7,150.8,y,3.2,,0.7,0.9,30.0,,,,,1.0,y,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
Cederbom2011,La2,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,360.0,,,,borehole,,,OSM,17.25,13.0,y,40.5,,11.1,15.2,26.0,,,,,0.0,n,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
Cederbom2011,La3,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,610.0,,,,borehole,,,OMM,19.0,17.25,y,29.0,,5.4,6.6,44.0,,,,,0.0,n,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
Cederbom2011,La5,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,1085.0,,,,borehole,,,USM,28.4,20.43,y,23.1,,2.6,2.9,57.0,,,,,0.0,n,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
Cederbom2011,La6,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,1310.0,,,,borehole,,,USM,28.4,20.43,y,20.3,,3.6,4.3,49.0,,,,,0.0,y,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
Cederbom2011,La8,Lindau,8.6702652158,47.4415012119,692899.567907,255251.81481799998,,1625.0,,,,borehole,,,USM,28.4,20.43,y,13.8,,2.3,2.7,60.0,,,,,0.0,y,,,,,,,,,,,,,,,,30321.833652301357,30321.833652301357,304204.4006274156
