well,sample,depth,n,aft_age,95ci_minus,95ci_plus,P_X2,ref,data_type,length_mean,length_std,n_lengths,long,lat,x_coord_swiss_grid,y_coord_swiss_grid,elevation,max_depth,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Boswil,B7,1312.0,25,23.0,2.0,2.0,86.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B8,1507.0,25,23.4,2.6,2.6,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B9,1817.0,30,14.7,1.9,1.9,0.0,Cederbom2004,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Boswil,B9rec,1817.0,45,12.7,2.9,3.7,0.0,Cederbom2011,central_age,,,,8.251403999999999,47.260486,661515.72437,234715.85117399998,647.5,1817.0,22357.447795935743,22357.447795935743,281997.07286262343
Chapelle,Ch1,296.0,22,30.9,8.1,10.9,0.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Ch2,517.0,8,26.4,4.5,5.4,77.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Ch3,667.0,20,28.3,3.5,4.0,33.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Ch4,1041.0,5,29.9,7.4,9.8,82.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Ch5,1201.0,33,27.0,4.0,4.7,2.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Chapelle,Ch6,1336.0,13,21.4,4.7,6.1,22.0,Cederbom2011,central_age,,,,6.7509513394112695,46.6656764733327,547371.5675380001,168503.326326,764.0,1336.0,9727.153222833991,9727.153222833991,135372.04803481343
Entlebuch,E32,1600.0,60,20.8,2.9,3.4,0.0,Cederbom2011,central_age,,,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,E36,1800.0,60,11.5,2.6,3.3,0.0,Cederbom2011,central_age,,,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,E42,2100.0,55,15.6,3.6,4.7,0.0,Cederbom2011,central_age,,,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,E2-1,2430.0,24,4.3,1.1,1.6,69.0,Cederbom2011,central_age,,,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch,E2-2,2710.0,12,3.0,1.0,1.6,83.0,Cederbom2011,central_age,,,,8.11261397324462,46.976094645276696,651282.964116,203000.452677,1081.4,2710.0,197.2444621347263,197.2444621347263,253992.0926795371
Entlebuch_t,E8,395.0,49,24.2,4.5,5.5,0.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
Entlebuch_t,E20,1000.0,60,25.5,4.7,5.8,0.0,Cederbom2011,central_age,,,,,,,,,,1.7976931348623157e+308,1.7976931348623157e+308,-1.0
